"Ország magyarul","Ország angolul","Szélesség (°)","Hosszúság (°)"
"Afganisztán","Afghanistan","33.93911","67.709953"
"Albánia","Albania","41.153332","20.168331"
"Algéria","Algeria","28.033886","1.659626"
"Amerikai Szamoa","American Samoa","-14.270972","-170.132217"
"Andorra","Andorra","42.546245","1.601554"
"Angola","Angola","-11.202692","17.873887"
"Antigua és Barbuda","Antigua and Barbuda","17.060816","-61.796428"
"Argentína","Argentina","-38.416097","-63.616672"
"Ausztrália","Australia","-25.274398","133.775136"
"Ausztria","Austria","47.516231","14.550072"
"Azerbajdzsán","Azerbaijan","40.143105","47.576927"
"Bahama-szigetek","Bahamas","25.03428","-77.39628"
"Bahrein","Bahrain","25.930414","50.637772"
"Banglades","Bangladesh","23.684994","90.356331"
"Barbados","Barbados","13.193887","-59.543198"
"Belgium","Belgium","50.503887","4.469936"
"Belize","Belize","17.189877","-88.49765"
"Benin","Benin","9.30769","2.315834"
"Bhután","Bhutan","27.514162","90.433601"
"Bolívia","Bolivia","-16.290154","-63.588653"
"Bosznia-Hercegovina","Bosnia and Herzegovina","43.915886","17.679076"
"Botswana","Botswana","-22.328474","24.684866"
"Brazília","Brazil","-14.235004","-51.92528"
"Brunei","Brunei","4.535277","114.727669"
"Bulgária","Bulgaria","42.733883","25.48583"
"Burkina Faso","Burkina Faso","12.238333","-1.561593"
"Burundi","Burundi","-3.373056","29.918886"
"Chile","Chile","-35.675147","-71.542969"
"Ciprus","Cyprus","35.126413","33.429859"
"Costa Rica","Costa Rica","9.748917","-83.753428"
"Csehország","Czech Republic","49.817492","15.472962"
"Dánia","Denmark","56.26392","9.501785"
"Dél-afrikai Köztársaság","South Africa","-30.559482","22.937506"
"Dél-Korea","South Korea","35.907757","127.766922"
"Dominika","Dominica","15.414999","-61.370976"
"Dominikai Köztársaság","Dominican Republic","18.735693","-70.162651"
"Dzsibuti","Djibouti","11.825138","42.590275"
"Egyesült Arab Emírségek","United Arab Emirates","23.424076","53.847818"
"Egyesült Államok","United States","37.09024","-95.712891"
"Egyesült Királyság","United Kingdom","55.378051","-3.435973"
"Egyiptom","Egypt","26.820553","30.802498"
"Elefántcsontpart","Côte d'Ivoire","7.539989","-5.54708"
"Észtország","Estonia","58.595272","25.013607"
"Etiópia","Ethiopia","9.145","40.489673"
"Fidzsi-szigetek","Fiji","-16.578193","179.414413"
"Finnország","Finland","61.92411","25.748151"
"Franciaország","France","46.227638","2.213749"
"Gabon","Gabon","-0.803689","11.609444"
"Gambia","Gambia","13.443182","-15.310139"
"Ghána","Ghana","7.946527","-1.023194"
"Görögország","Greece","39.074208","21.824312"
"Grúzia","Georgia","42.315407","43.356892"
"Guatemala","Guatemala","15.783471","-90.230759"
"Guinea","Guinea","9.945587","-9.696645"
"Guinea-Bissau","Guinea-Bissau","11.803749","-15.180413"
"Guyana","Guyana","4.860416","-58.93018"
"Hollandia","Netherlands","52.132633","5.291266"
"Honduras","Honduras","15.199999","-86.241905"
"Horvátország","Croatia","45.1","15.2"
"India","India","20.593684","78.96288"
"Indonézia","Indonesia","-0.789275","113.921327"
"Irán","Iran","32.427908","53.688046"
"Irak","Iraq","33.223191","43.679291"
"Írország","Ireland","53.41291","-8.24389"
"Izland","Iceland","64.963051","-19.020835"
"Izrael","Israel","31.046051","34.851612"
"Jamaica","Jamaica","18.109581","-77.297508"
"Japán","Japan","36.204824","138.252924"
"Jemen","Yemen","15.552727","48.516388"
"Jordánia","Jordan","30.585164","36.238414"
"Kambodzsa","Cambodia","12.565679","104.990963"
"Kamerun","Cameroon","7.369722","12.354722"
"Kanada","Canada","56.130366","-106.346771"
"Katar","Qatar","25.354826","51.183884"
"Kazahsztán","Kazakhstan","48.019573","66.923684"
"Kenya","Kenya","-0.023559","37.906193"
"Kína","China","35.86166","104.195397"
"Kirgizisztán","Kyrgyzstan","41.20438","74.766098"
"Kolumbia","Colombia","4.570868","-74.297333"
"Kongó","Congo [Republic]","-0.228021","15.827659"
"Kongói DK","Congo [DRC]","-4.038333","21.758664"
"Kuba","Cuba","21.521757","-77.781167"
"Kuvait","Kuwait","29.31166","47.481766"
"Laosz","Laos","19.85627","102.495496"
"Lengyelország","Poland","51.919438","19.145136"
"Lettország","Latvia","56.879635","24.603189"
"Libanon","Lebanon","33.854721","35.862285"
"Libéria","Liberia","6.428055","-9.429499"
"Líbia","Libya","26.3351","17.228331"
"Liechtenstein","Liechtenstein","47.166","9.555373"
"Litvánia","Lithuania","55.169438","23.881275"
"Luxemburg","Luxembourg","49.815273","6.129583"
"Madagaszkár","Madagascar","-18.766947","46.869107"
"Magyarország","Hungary","47.162494","19.503304"
"Malawi","Malawi","-13.254308","34.301525"
"Malajzia","Malaysia","4.210484","101.975766"
"Maldív-szigetek","Maldives","3.202778","73.22068"
"Mali","Mali","17.570692","-3.996166"
"Málta","Malta","35.937496","14.375416"
"Marokkó","Morocco","31.791702","-7.09262"
"Mauritius","Mauritius","-20.348404","57.552152"
"Mexikó","Mexico","23.634501","-102.552784"
"Moldova","Moldova","47.411631","28.369885"
"Monaco","Monaco","43.750298","7.412841"
"Mongólia","Mongolia","46.862496","103.846656"
"Montenegró","Montenegro","42.708678","19.37439"
"Mozambik","Mozambique","-18.665695","35.529562"
"Namíbia","Namibia","-22.95764","18.49041"
"Nepál","Nepal","28.394857","84.124008"
"Nicaragua","Nicaragua","12.865416","-85.207229"
"Niger","Niger","17.607789","8.081666"
"Nigéria","Nigeria","9.081999","8.675277"
"Norvégia","Norway","60.472024","8.468946"
"Olaszország","Italy","41.87194","12.56738"
"Omán","Oman","21.512583","55.923255"
"Oroszország","Russia","61.52401","105.318756"
"Pakisztán","Pakistan","30.375321","69.345116"
"Panama","Panama","8.537981","-80.782127"
"Paraguay","Paraguay","-23.442503","-58.443832"
"Peru","Peru","-9.189967","-75.015152"
"Portugália","Portugal","39.399872","-8.224454"
"Románia","Romania","45.943161","24.96676"
"Ruanda","Rwanda","-1.940278","29.873888"
"Spanyolország","Spain","40.463667","-3.74922"
"Svájc","Switzerland","46.818188","8.227512"
"Svédország","Sweden","60.128161","18.643501"
"Szerbia","Serbia","44.016521","21.005859"
"Szenegál","Senegal","14.497401","-14.452362"
"Szingapúr","Singapore","1.352083","103.819836"
"Szíria","Syria","34.802075","38.996815"
"Szlovákia","Slovakia","48.669026","19.699024"
"Szlovénia","Slovenia","46.151241","14.995463"
"Szudán","Sudan","12.862807","30.217636"
"Szváziföld","Swaziland","-26.522503","31.465866"
"Tádzsikisztán","Tajikistan","38.861034","71.276093"
"Tajvan","Taiwan","23.69781","120.960515"
"Tanzánia","Tanzania","-6.369028","34.888822"
"Thaiföld","Thailand","15.870032","100.992541"
"Togo","Togo","8.619543","0.824782"
"Tonga","Tonga","-21.178986","-175.198242"
"Trinidad és Tobago","Trinidad and Tobago","10.691803","-61.222503"
"Tunézia","Tunisia","33.886917","9.537499"
"Türkmenisztán","Turkmenistan","38.969719","59.556278"
"Törökország","Turkey","38.963745","35.243322"
"Uganda","Uganda","1.373333","32.290275"
"Ukrajna","Ukraine","48.379433","31.16558"
"Uruguay","Uruguay","-32.522779","-55.765835"
"Üzbegisztán","Uzbekistan","41.377491","64.585262"
"Vanuatu","Vanuatu","-15.376706","166.959158"
"Venezuela","Venezuela","6.42375","-66.58973"
"Vietnám","Vietnam","14.058324","108.277199"
"Zambia","Zambia","-13.133897","27.849332"
"Zimbabwe","Zimbabwe","-19.015438","29.154857"